Tool,UTID,SO_FID,Customer ,tool_status,Open_Date,Ship_Date,Comment,Handler,K_MAT,WO1,Tester_Type,WO2,BBSE,WO3,WLR_FD,WO4,OPTION_LDSR,WO5,UVR_eUVR,WO6,AiD_SSiD,WO7,Compensator,WO8,MSWAVECAL,WO9,NLR_Ceramic_Chuck,WO10,Others,IS_SHIPPED
Viking F1,7273185,120711,TSMC FAB 18 P6,KLA,17-Apr,13-Jun,,H000344345,0634468-000,1082137,Tester 0614033-000,1080183,"0629129-000 
XMSE Cascaded",1080184,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1080185,,,"0607019-000 
OPTION,SWE-EP",1080186,,,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1080187,"0614958-000 OPTION,MSWAVECAL",1080188,"0623771-000 OPTION,FOG,F1",1080189,,0
Viking SS11Ki,7273181,120590,INTEL CORPORATION FAB D1D,KLA,17-Apr,28-Jun,,H000344502,0819629-000,1083383,"Tester SS11K-I 
0715134-000",1080192,0714778-000 - BBSE SS11K,1080193,"0712159-000 
LDSR INTEGRATION",1080194,"0714339-000     
OPTION,LDSR-EP,SS11K  ",,,,,,"0715121-000 
Compensator",1080195,,,0769140-000,0744867-000,1,0
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
Viking LS11K,7273088,120510,INTEL CORPORATION FAB D1D,KLA,17-Apr,27-Jun,,H000344518,0773971-000,1083245,"0757019-000
TESTER,LITHOSHAPE 11K",1080205,"0756154-000
FEATURE,BBSE,LS11K",1080206,"0755684-000 
KIT,INTEGRATION,LDSR,LS11K",1080207,"0575683-000
OPTION,LDSR",,,,,,"0715121-000
Copensator",1080208,0744867-000,0750742-000,0709940-000,0769140-000,1,0
Viking SS10K 3D EP,7273178,123044,MACRONIX INTERNATIONAL CO. LTD,KLA,17-Apr,2-Jun,,H000344310,0694166-000,1082791,Tester 0575637-000,1080210,"0624483-000 
FEATURE, 2.2UM IRSE",1080211,"0638704-000 
KIT,INTEGRATION,LDSR",1080212,"0575683-000 
OPTION,LDSR,VIKING",,,,,,Copensator 0658195-000,1080213,,,,,,0
Viking SS10K 3D ,7273180,122910,SOITEC MICROELECTRONICS SINGAPORE,KLA,17-Apr,2-Jun,,H000344309,0694165-000,1082402,Tester 0575637-000,1080215,"0624483-000 
FEATURE, 2.2UM IRSE",1080216,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1080634,,,,,,,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1080579,,,,,,0
Viking F1 ,7273190,120719,TSMC FAB 18 P5,KLA,24-Apr,15-Jun,,H000344416,0634468-000,1082766,Tester 0614033-000,1080511,"0629129-000 
XMSE Cascaded",1080512,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1080513,,,"0607019-000 
OPTION,SWE-EP",1080514,,,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1080517,"0614958-000 OPTION,MSWAVECAL",1080515,"0623771-000 OPTION,FOG,F1",1080516,,0
Viking SS10K 3D ,7273183,122106,KIOXIA CORP Y7,KLA,25-Apr,15-Jun,,H000344360,0694166-000,1083135,Tester 0575637-000,1080641,"0624483-000 
FEATURE, 2.2UM IRSE",1080642,"0638704-000 
KIT,INTEGRATION,LDSR",1080640,"0575683-000 
OPTION,LDSR,VIKING",,,,,,Copensator 0658195-000,1080643,,,,,,0
SS9010 ,7273118,117745,TEXAS INSTRUMENTS RFAB 2,KLA,26-Apr,30-May,,H000317279,0391024-000,1082805,"TESTER,SPECTRA SHAPE 9010
0376421-000",1080659,"0527023-000 
FEATURE,BBSE,ROW,SHELBY",1080661,"WLR for SF LD 10
0353539-000",1080662,,,0556674-000 Low NA Euvr,1080663,,,"OPTION,940NM LED,WLR/PR
0676544-000",1080664,,,,,,0
SF 8660 HT,7273165,118940,INFINEON 300MM FAB,KLA-Vilar ,26-Apr,2-Jun,,H000317147,0809023-000,1082806,Tester - 0754738-000,1080675,"0283706-000 
FEATURE,240 BBSE,64SUMS,SPECTRA SHAPE",1080679,"0100231-001 
FEATURE,WLR,ALERIS",1080680,,,"0100420-000 
OPTION,15X UVR,ALERIS",1080681,,,,,,,,,,0
Viking SS11K,7273187,119469,TSMC FAB 18 P1,KLA,28-Apr,15-Jun,,0756701-000,H000317218,1083082,Tester 0745640-000,1080752,"0714778-000 
FEATURE,BBSE,SS11K-i",1080754,"0712159-000 
LDSR INTEGRATION",1080755,"0714339-000 
OPTION,LDSR-EP,SS11K  ",,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1080756,,,,,,0
SS 8660,7273141,120031,TSMC FAB 16,KLA,28-Apr,9-Jun,,H000317146,0256531-000,1082537,Tester - 0299229-000,1080792,"0283706-000 
FEATURE,240 BBSE,64SUMS,SPECTRA SHAPE",1080793,0117525-000 FD,1080794,,,"0283708-000 
eUVR",1080795,,,,,,,"0613804-000 ASSY, N2 PURGE, 8810/8660 MATCHING,MAKE ",1081132,,0
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
SS9010,7273184,117746,TEXAS INSTRUMENTS RFAB 2,KLA-Vilar ,2-May,19-Jun,,H000317324,0391024-000,1083104,"TESTER,SPECTRA SHAPE 9010
0376421-000",1080837,"0527023-000 
FEATURE,BBSE,ROW,SHELBY",1080838,"WLR for SF LD 10
0353539-000",1080839,,,0556674-000 Low NA Euvr,1080840,,,"OPTION,940NM LED,WLR/PR
0676544-000",1080841,,,,,,0
Aleris 8350,7273171,111542,SK HYNIX M16,KLA,2-May,2-Jun,,H000344344,0221125-000,1083385,Tester 0221128-000,1080844,"0592116-000 
FEATURE,BBSE,240/UV,ALERIS 8350,ROW",1080845,"0671131-000 
WLR & IR LED 780",1080850,,,"0100420-000 
OPTION,15X UVR,ALERIS",1080851,,,,,,,,,1,0
Viking F1,7273195,120720,TSMC FAB 18 P6,KLA,3-May,21-Jun,,H000344442,0634468-000,1082865,Tester 0614033-000,1080865,"0629129-000 
XMSE Cascaded",1080866,"0630252-000 
OPTION,DIGITAL NAVIGATION SYSTEM",1080867,,,"0607019-000 
OPTION,SWE-EP",1080868,,,"0597905-000 
OPTION,COMPENSATOR,C/W LDSR,GEN8 SE",1080869,"0614958-000 OPTION,MSWAVECAL",1080870,"0623771-000 OPTION,FOG,F1",1080871,,0
Viking SS11K,7273194,120555,TSMC FAB 18 P6,KLA,3-May,2-Jun,,H000317063,0756701-000,1083094,Tester 0745640-000,1080886,"0714778-000 
FEATURE,BBSE,SS11K-i",1080887,"0712159-000 
LDSR INTEGRATION",1080888,"0714339-000 
OPTION,LDSR-EP,SS11K  ",,,,,,"0715121-000 
OPTION,COMPENSATOR,SS11K",1080889,,,,,1,0
Aleris 8350,7273174,126437,SAMSUNG L-16,KLA,2-May,2-Jun,,H000344274,0221125-000,1082885,Tester 0221128-000,1080890,"0592116-000 
FEATURE,BBSE,240/UV,ALERIS 8350,ROW",1080891,"0861457-000 
FEATURE,WLR & IR LED 850,ALERIS",1080892,,,"0200340-000 
OPTION,UVR,1X OBJ,ALERIS",1080896,0613744-000 ID,1080898,"0372205-001 
KIT,SWE,ALERIS,ROW",1080899," 0718914-000 
FIBER,400UM,5M,AL,.22NA,SMA",1080897,,,1,0
Aleris 8350,7273169,126440,SAMSUNG P1-3,KLA,7-May,2-Jun,,H000344234,0221125-000,1082395,Tester 0221128-000,1080976,"0592116-000 
FEATURE,BBSE,240/UV,ALERIS 8350,ROW",1080977,"0861457-000 
FEATURE,WLR & IR LED 850,ALERIS",1080978,,,"0200340-000 
OPTION,UVR,1X OBJ,ALERIS",1080979,,,,," 0718914-000 
FIBER,400UM,5M,AL,.22NA,SMA",1080980,,,1,0
Aleris 8350,7273189,118973,UMC 12A P5,KLA,7-May,14-Jun,,H000344410,0221125-000,1082930,Tester 0221128-000,1080981,"0592116-000 
FEATURE,BBSE,240/UV,ALERIS 8350,ROW",1080982,"0100231-001 
FEATURE,WLR,ALERIS",1081449,,,,,0613744-000 ID,1080984,"0372205-001 
KIT,SWE,ALERIS,ROW",1080985,,,,,1,0
Viking SS10K 3D EP,7273198,120753,INTEL SEMICONDUCTOR (DALIAN) LTD.,KLA,8-May,28-Jun,,H000344287,0694166-000,1083240,Tester 0575637-000,1081004,"0624483-000 
FEATURE, 2.2UM IRSE",1081005,"0638704-000 
KIT,INTEGRATION,LDSR",1081006,"0575683-000 
OPTION,LDSR,VIKING",,,,,,Copensator 0658195-000,1081007,"0851369-000 KIT,UPGRADE,V8.1, 800UM BOW",1081442,"0676538-000 OPTION,940NM LED,PR,LDSR",1081008,1,0
